id,propertyTypeId,address,city,state,zipCode,country,price,bedrooms,bathrooms,squareFeet,lotSize,yearBuilt,description,features,status,listingType,agentId,imageUrl,virtualTourUrl,listingDate
PROP001,PT001,123 Maple Street,Springfield,IL,62704,USA,450000,4,3,2800,0.25,1995,"Beautiful single-family home in desirable neighborhood, featuring updated kitchen, hardwood floors, and spacious backyard.","Hardwood floors; Updated kitchen; Deck; Finished basement; Two-car garage",available,sale,AG001,https://images.unsplash.com/photo-1576941089067-2de3c901e126,https://my.matterport.com/show/?m=example1,2023-05-15
PROP002,PT002,456 Oak Avenue #302,Springfield,IL,62701,USA,285000,2,2,1200,0,2010,"Modern condo in downtown with great city views, high-end finishes, and building amenities.","Stainless steel appliances; Quartz countertops; In-unit laundry; Balcony; Building gym",available,sale,AG003,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267,https://my.matterport.com/show/?m=example2,2023-06-02
PROP003,PT005,789 Business Park Dr,Springfield,IL,62703,USA,750000,0,2,3500,0.5,2005,"Prime commercial office space in business district, perfect for professional services.","Reception area; Conference room; Break room; Private offices; Parking lot",available,sale,AG002,https://images.unsplash.com/photo-1497366754035-f200968a6e72,https://my.matterport.com/show/?m=example3,2023-04-10
PROP004,PT001,234 Willow Lane,Millfield,IL,62706,USA,375000,3,2,1950,0.3,1985,"Charming ranch-style home on quiet street with recent updates and mature landscaping.","Updated bathroom; New roof (2020); Patio; Fenced yard; Garden",pending,sale,AG001,https://images.unsplash.com/photo-1568605114967-8130f3a36994,https://my.matterport.com/show/?m=example4,2023-03-22
PROP005,PT006,567 Market Street,Springfield,IL,62701,USA,425000,0,1,2000,0,1970,"Retail storefront in high-traffic area, great visibility and foot traffic.","Display windows; Storage area; Recently renovated; ADA compliant; Back entrance",available,lease,AG002,https://images.unsplash.com/photo-1586023492125-27b2c045efd7,https://my.matterport.com/show/?m=example5,2023-06-10
PROP006,PT004,890 Apartment Way,Springfield,IL,62704,USA,1200000,12,12,8500,0.75,2000,"Multi-family apartment building with 6 units, fully occupied with strong rental history.","Onsite laundry; Parking lot; Updated electrical; Low maintenance; Fully tenanted",available,sale,AG008,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00,https://my.matterport.com/show/?m=example6,2023-05-01
PROP007,PT014,135 Luxury Lane,Millfield,IL,62706,USA,1850000,5,5.5,5200,2.5,2018,"Luxurious estate home with high-end finishes, gourmet kitchen, and resort-style backyard.","Pool; Hot tub; Home theater; Wine cellar; Chef's kitchen; Smart home features",available,sale,AG001,https://images.unsplash.com/photo-1513584684374-8bab748fbf90,https://my.matterport.com/show/?m=example7,2023-06-15
PROP008,PT003,246 Townhome Circle #12,Springfield,IL,62703,USA,325000,3,2.5,1800,0.05,2015,"Contemporary townhouse in desirable complex with community amenities and low maintenance.","Granite counters; Hardwood on main level; Attached garage; Community pool; Playground",sold,sale,AG003,https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6,https://my.matterport.com/show/?m=example8,2023-02-28
PROP009,PT008,789 Development Road,Millfield,IL,62707,USA,185000,0,0,0,5.2,0,"Prime residential development lot with utilities at street and mountain views.","Corner lot; Utilities at street; No HOA; Mountain views; Gently sloping",available,sale,AG004,https://images.unsplash.com/photo-1500382017468-9049fed747ef,https://my.matterport.com/show/?m=example9,2023-04-25
PROP010,PT016,357 Duplex Drive,Springfield,IL,62702,USA,420000,4,4,2600,0.2,1980,"Well-maintained duplex with separate utilities and consistent rental history.","2 bed/2 bath each unit; Separate utilities; Washer/dryer hookups; Off-street parking",available,sale,AG008,https://images.unsplash.com/photo-1591474200742-8e512e6f98f8,https://my.matterport.com/show/?m=example10,2023-05-20
PROP011,PT002,468 Tower View #1505,Springfield,IL,62701,USA,395000,2,2,1350,0,2012,"Luxury high-rise condo with stunning city views and high-end building amenities.","Floor-to-ceiling windows; Custom closets; Concierge; Rooftop pool; Fitness center",available,sale,AG006,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688,https://my.matterport.com/show/?m=example11,2023-06-05
PROP012,PT007,579 Industrial Way,Millfield,IL,62707,USA,875000,0,1,12000,2.5,1995,"Industrial warehouse with office space, loading docks, and convenient highway access.","Loading docks; Office space; High ceilings; Heavy power; Climate controlled section",available,sale,AG002,https://images.unsplash.com/photo-1565610222536-ef113abbb25c,https://my.matterport.com/show/?m=example12,2023-04-15
PROP013,PT010,680 Mixed Use Avenue,Springfield,IL,62701,USA,950000,4,4,6000,0.25,2008,"Mixed-use property with retail on main level and two residential units above.","Retail space (2000 sq ft); Two 2-bed apartments; Separate utilities; Rear parking",pending,sale,AG002,https://images.unsplash.com/photo-1577972549344-6198047529ed,https://my.matterport.com/show/?m=example13,2023-03-10
PROP014,PT015,791 Lakefront Drive,Lake View,IL,62712,USA,575000,3,2,1800,0.5,2005,"Beautiful vacation property on the lake with private dock and incredible views.","Dock; Fireplace; Deck; Open concept; Fully furnished option; Boat storage",available,sale,AG007,https://images.unsplash.com/photo-1499793983690-e29da59ef1c2,https://my.matterport.com/show/?m=example14,2023-05-05
PROP015,PT009,802 Rental Complex Lane,Springfield,IL,62704,USA,2500000,20,20,15000,1.2,1990,"20-unit apartment complex with stable occupancy and strong cash flow.","On-site laundry; Maintenance shop; Covered parking; Recent roof; Long-term tenants",available,sale,AG008,https://images.unsplash.com/photo-1460317442991-0ec209397118,https://my.matterport.com/show/?m=example15,2023-03-15
PROP016,PT001,913 Family Street,Millfield,IL,62706,USA,399500,4,2.5,2400,0.28,2000,"Well-maintained family home in excellent school district with spacious yard.","Fireplace; Updated kitchen; Covered patio; Sprinkler system; Garden shed",available,sale,AG003,https://images.unsplash.com/photo-1570129477492-45c003edd2be,https://my.matterport.com/show/?m=example16,2023-06-12
PROP017,PT013,1024 Ranchland Road,Rural County,IL,62715,USA,1250000,3,2,2200,40,1975,"Beautiful ranch property with main house, barn, and 40 acres of fenced pasture.","Horse barn; Workshop; Pond; Fenced pasture; Mountain views; Hay storage",available,sale,AG009,https://images.unsplash.com/photo-1564013434775-f71db0d8cba9,https://my.matterport.com/show/?m=example17,2023-04-20
PROP018,PT006,1135 Shopping Center Lane #3,Springfield,IL,62703,USA,3500,0,1,1200,0,2010,"Retail space for lease in busy shopping center with excellent visibility and parking.","Storefront windows; Storage room; ADA bathroom; Central HVAC; Signage opportunity",available,lease,AG002,https://images.unsplash.com/photo-1441986300917-64674bd600d8,https://my.matterport.com/show/?m=example18,2023-05-30
PROP019,PT001,1246 Historic Avenue,Springfield,IL,62701,USA,525000,5,3,3200,0.4,1910,"Beautifully restored historic home with original details and modern updates.","Original hardwood; Clawfoot tub; Stained glass; Updated kitchen; Carriage house",available,sale,AG009,https://images.unsplash.com/photo-1518780664697-55e3ad937233,https://my.matterport.com/show/?m=example19,2023-06-08
PROP020,PT005,1357 Professional Plaza #200,Springfield,IL,62704,USA,5200,0,0,2800,0,2015,"Class A office space for lease with modern amenities and professional atmosphere.","Reception area; Conference room; Break room; Private offices; Building security",rented,lease,AG010,https://images.unsplash.com/photo-1497366216548-37526070297c,https://my.matterport.com/show/?m=example20,2023-01-15
