investment_id,account_id,customer_id,investment_type,ticker_symbol,shares,purchase_price,purchase_date,current_price,current_value,gain_loss,sector
INV50001,ACC20007,C10003,stock,AAPL,50,155.25,2022-02-15,175.50,8775.00,1012.50,technology
INV50002,ACC20007,C10003,stock,MSFT,30,280.75,2022-02-18,305.25,9157.50,735.00,technology
INV50003,ACC20007,C10003,etf,VOO,25,380.50,2022-02-20,410.75,10268.75,756.25,index
INV50004,ACC20007,C10003,bond,GOVT,100,25.80,2022-03-01,25.60,2560.00,-20.00,government
INV50005,ACC20018,C10010,stock,AMZN,10,3250.00,2022-01-25,3350.00,33500.00,1000.00,technology
INV50006,ACC20018,C10010,stock,JNJ,40,165.50,2022-01-28,170.25,6810.00,190.00,healthcare
INV50007,ACC20018,C10010,etf,VTI,60,210.25,2022-02-01,215.50,12930.00,315.00,index
INV50008,ACC20018,C10010,mutual_fund,VFIAX,75,375.20,2022-02-05,385.75,28931.25,791.25,large_cap
INV50009,ACC20018,C10010,bond,BND,120,85.50,2022-02-10,84.75,10170.00,-90.00,aggregate
INV50010,ACC20018,C10010,reit,VNQ,30,105.25,2022-02-15,108.50,3255.00,97.50,real_estate
